,product,title ,rating,body
10,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",painful on ears,1.0,it is so hard on ears and after 5 to 10 minutes you will feel the pain irrespective of your head size.
11,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not good for me.,1.0,Sound quality not upto the mark. No balance between vocal and bass. Feels like Noisy audio.Bluetooth mode have lag when playing games(not in milliseconds it produces 2 sec lag).Lag doesn't comes when aux is connected.Mic doesn't work when Aux cable connected. They should have provided aux cable with mic.This design gives more pain to ear. Ear can touch inside parts and it irritates. Cushions not good or big enough to give space between ear and headphones.Once you connected via bluetooth no way to unpair from the headphone. You must turn off bluetooth on mobile/pc inorder to connect another device within the range.So Finally I returned this product.
12,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Pathetic calling feature sound good,1.0,"Sound good but very low ,pathetic for calling hoens sound every 3 sec . Only for listning music not for calling purpose."
13,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not good,1.0,"- Power button got stuck inside. Could not operate.- Adjustable band was just too tight and was not working, was scared while pulling/pushing that it might break.- Volume-up/Volume-down/Play-Pause buttons did not work.- Mic did not work, other was person was barely able to hear with lot of noise.- Over the ear/head it was just too tight/heavy.- Because of above problems, requested for replacement. But, replacement sent by seller was used product in used box with missing aux cable and usb cable. Box was cello-taped (original packaging was missing). Amazon packing was also broken/tampered with.- Had to request for replacement/order cancellation.- Delivery person was kind enough to accept return. And, Amazon was kind enough to consider case and issue refund.- Overall good experience with Amazon & Delivery person. But, product was not good quality (although it was listed as best seller) and seller did not do good thing in sending used product as replacement."
14,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Recieved a damaged piece,1.0,Recieved a damaged piece. First it shows 90% battery then 40 in 5 minutes. One side works well another side is not working properly. After 2 hrs Bluetooth connectivity has been stopped working. Aux cable is working but one ear only . Hope they send me another good one after returning this .
15,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Don't buy this product!!,1.0,"Update after 20 days use, daily for about 3 hours: the headset shows 'Fully Charged' after 2 minutes charging. Goes back to Zero charge after 5 minutes usage.Clearly, the chargeable battery is old, depleted. Since the problem came up only after 20 days - and suddenly, the Return Window is also over.Amazon, you shouldn't sell such products, it's tantamount to cheating!! Do you have a solution for me???Bottom Line: give the money to someone who needs it. Buying this product is like burning your money!"
16,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good Value For Money,4.0,"I had bought this for my daughter's online classes but used for a day to evaluate and mostly very pleased with my purchase.Call Quality: Receiving calls and sound on the other side was good. In fact, there was good ambient noise cancellation. While taking a call and opening the tap in the kitchen, the other side couldn't hear the tap and wate sound. It took calls on WhatsApp, MS Teams and regular mobile and all had great call quality, both ways.Bluetooth: Really nothing to report as it performs as expected. No fuss! Visible on the phone while pairing with voice prompts and thereafter during powering-on seamlessly.Battery - As claimed, after my day's experiment, I had about 60% battery which is great for the headphones.Music - Good, but not great. If you are particular about sound, you will notice that the bass is boosted and therefore gives a bit of unnatural bass. The highs (treble) are a bit lacking and therefore lacks crispness, which becomes very evident in certain songs.One drawback was the ear cushions on one of the ears keeps coming off. That is exceedingly difficult to put it back.All-In-All a great purchase and value for Rs799. My daughter is very happy with it."
17,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Don't buy it,1.0,"Worst product that I bought from amazon.It was very tight and you could only use it for a minute and the product only last for 2 days .It was very bad experience for me from the Ptron customer service.But amazin saved me,they took the product and gave me revund via cheque ,thanks amazon.Do not buy this product and waste your money.It is the only product that I returned to amazon.So I recommend you not to buy it.If you need a good experience please buy any other products.The sound quality is also average."
18,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good Built Quality,5.0,It is my first experience with any over head headphone and I want to say that it is amazing experience before some time I was just a user of pTron but now I am a big fan of pTron because pTron never disappoint us not in sound quality nor in build quality.One of the best headphone in this price segment.
19,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Impossible to claim warranty,1.0,This is the second time of such malpractice. The seller hides the 13 digit item number on the pack by sticking another tape. This 13 digit number is required to register your product to claim warranty. Amazon ask to contact Ptron and you can never get connected their with anyone. The idea is to avoid people claiming warranty. The first time I bought another ear pods from them same issue happened and I did not register to claim warranty. The pods is not working after a month. Please avoid Ptron at least buying it online.
20,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Best Headphones at this Price Range.,5.0,"Best product at this price...I am using it from last 3weeks, the sound system is awesome.The bass and treble which is at par than expected.Also the look is beautiful.Overall i think its the best headphones at this price range."
21,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not Satisfactory,1.0,"I bought this item looking at the reviews and design. But the product is of a poor quality and connectivity is not stable and very important the audio-Its not good at all. I am sad that I can’t return the item as there is no return option. But for you all, buy something else thats of a good quality. Even if you have to pay a lil more."
22,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Sounds quality is awesome,5.0,I was very thankful to pTron and also for Amazon for a great product.  Best in class sound quality battery backupBass Can be used with aux if battery drains Value for money .It has a good battery backup which gives us long time enjoyment.Very fastly connecting to the mobile and easy to handle to power off and on and also to volume up and down.At this price this is very good and best product. I am using continuously without removing the headphones.Finally loving this product thank u ptron
23,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Poor bluetooth v5.0 connectivity,1.0,"1) Voice over call and audio connection breaks very badly when headphone is active over the bluetooth.2)Wire connector also doesn't work properly, i need to adjust it or hold it while listening an audio or speaking with someone on voice call.3) Bluetooth immediately breaks the communication with mobile device in case of your passing through any mobile tower."
24,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",STAY AWAY!! This is one crappy headphones.,1.0,"This headphones design and cheap pricing made me to buy it. Sound is not balanced, and you feel not even comfortable listening in 50% volume, it’s so loud and low in quality. You feel like take of headphone after 5-10mins of use and the PTron and seller knows the quality of the product, there is no return.Honestly go for a better brand quality even if the prices are high and save your ears from getting red marks all over. Don’t get fooled by number of ratings the product as."
25,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Very Good Quality...i love it...,5.0,"I was very thankful to pTron and also for Amazon for a great product.It has a good battery backup which gives us long time enjoyment. sound quality is excellent,very clear and loud,bass levels are great.Very fastly connecting to the mobile and easy to handle to power off and on and also to volume up and down.At this price this is very good and best product.Finally loving this product thank u ptron.."
26,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good Headset/Worth the money,3.0,"Product appears to be good and sturdy.Good sound/bass and worth the money but I have the following observation.When I received the delivery the first time, the headset was defective so ordered a replacement. Both times boxes were delivered in open condition. The product's box was not sealed. The charging and 3.5 mm wires were not in a factory packed condition. Thus, it appears that these are returned/renewed pieces."
27,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good one.,4.0,Sound quality is awesomeBluetooth if we keep the phone far say away from your body and listen to music there is no issues..  When u walk the Bluetooth kinda stops frequently..  But will start playing again after one or 2 seconds..  It has FM..  Good headset for this price range...  Charge is awesome..  If u fully charge it..  It lasts for 6 to 8 hours continuous play...  After that u can use the auction cable. ..
28,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Really good product better than LEAF and Iball go for it,4.0,The headphone looks classyGood strong material unlike my last LEAF headphone very cheap materialFast bluetooth connectivityButtons are well workingSound quality also Good and bass surrounding is really good except one problem the sound is lil low frequency i always have to use full volume to Feel the musicBattery life also going well
29,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Waste product.,1.0,"I purchased this headset for my kid to attend online classes, I get only noise after 5 mins of usage, I hve to disconnect and connect again to hear the audio..., Another issue is every 10mins the blue tooth headset gets power off even with full battery.I have another headset same model from leaf  bass brand, which is the rebrand headset and I don't have any of this problems. This is waste and not useable."
30,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Ok product,3.0,"I bought this for my wife. She started complaining about ear pain from day1 hence bought her another brand ear phones. I started using it, here my observations:1. Build quality ia good2. Can be painful to use them for long periods3. I really didn't like the sound quality. My old phone ear phones have much better sound qualityI dont expect Bose or Jbl quality but could have been lot better"
31,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Stereo over the ear headphones,5.0,"Now its time of ott,so i was looking for a stereo headphones to connect both in tv and mobile.This was the thing i was looking.have been using for two days ,watched a film in smart tv ,battery is still 80 percentage.battery is more than what they said.sound quality is another ,more crystal clear audio than the earbuds and all.have no ear pain for me .now using as my regular headset ,liked it ,will recommend to my friends"
32,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)","Budget friendly headphone, with decent sound quality and bluetooth battery backup, Go for it",4.0,"Bluetooth connectivity is not that strong, while moving around in outdoors, but in indoors , its quite good. connection is stable. i am using in my desktop pc by using TP-Link USB Bluetooth Adapter, its works fine, no latency issue while watching YouTube. Only while gaming pc, sound via Bluetooth does not work, so i purchased 2male to 1 female  headphone splitter cable and 3.5mm male to male aux cable to solve this issue. Only thing to to complain the soft cushion cover arround the ear is not that good quality, it will come out slowly very fast, even with deliciated use. Since its only 800 bucks, its hard to complain."
33,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",It's highly recommended under 999 range product,5.0,It's awesomeIn 899 it's superb actuallyNoise cancellation is also at high levelGive superb bass as wellNoise is clear as crystals soundsBattery life is almost enough for a dayWhen comes to comfortableAlmost after using it  for 4/5 hoursI didn't feel now I have to take it offBecuz it's light in weightAnd give awesome comfort when we are Using it
34,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Mic not working and Bluetooth disconnects after 10 to 15mins in use,1.0,"Bad product. From day one the mic wasn’t working. Also the Bluetooth disconnects from the audio within 10 to 15mins. Third day I have raised a replacement request. I got the confirmation that the replacement has been dispatched. To date not received. Complained to Customercare. First time bad experience with Amazon online orders. Especially, need more careful while placing orders for the electronics. I hope the Customercare would comeback with proper investigation."
35,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Fabulous headphones 🎧,5.0,"The product is just amazing!! It comes in a good packaging, has a great colour and I love it💙. This 🎧 can be connected to any bluetooth device. It can remain charged for a very long duration. The ear cushions provides a comfy experience. The sound quality is superb. It's noice cancellation allows u to just concentrate and feel the music. It's worth the price I paid. This 🎧 is completely light weight. It also has an information manual and a 1 year warranty card. This product is a Must have!!"
36,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)","Only pocket freandly, but not health freandly",1.0,"Due to matte finish body halke scretch bhi jyada lagty hai, sound is harmfull for ear u can listen all the songs even is 2 feet away feom ears ,this is not stands on goverment health guidelines, also ear cups are little fixed your ears, this is not comfartable for long listning.Blutooth connectivity is okay..."
37,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Automatically powers off after 10 minutes of Microsoft teams meeting.,1.0,Automatically powers off after 10 minutes of Microsoft teams/ Zoom meeting.however works good with other applications like music and video. It has some bug in its own program.other than that it has good sound quality including bass. but the purpose defeats to use wireless while in Microsoft teams meetings. Requested replacement hope the new one doesn't have same issue.
38,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Warranty issue,3.0,Product is good but Warranty support not hassel free by ptron.  They ask for courier the product to Telangana for services.  Its take too much time n metal harrassment for customers.  Telephonic customer care is wasted of time. Waiting times too much n then phone cut.And no support from amazon also.Very poor after sale service.
39,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Value for money,5.0,"At the price in which we are getting this Bluetooth headphone, I think its a good buy. The quality of sound is good. When used for calls, the sound quality is nice at both the end. Another good feature is its noise cancellation which makes the music experience really good. The fit is decently comfortable on ears and one can wear it for quite some time. Very happy with the buy"
40,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Very Mediocre product.,1.0,I took a gamble to buy this Headset based on some positive reviews and catchy price. Ears started paining after using for 20 mins and the MIC was not working or others hear my voice very feeble.  Thanks to Amazon for allowing a refund for this.
41,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not suitable for laptop,4.0,"The sound is good, the connectivity is good, the quality is good. But….. surprisingly if you connect it to a laptop, there is a delay in transmission. There would not be a lip sync if you want a movie! You will hear the dialogue after it is said on the screen 😳"
42,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Amzon's most defective product,1.0,"Your browser does not support HTML5 video.


   I had buyed this product two times. Every time product comes with defective body piece. I had made a video of it. Please check. I think seller had purchased a whole defective lot in bulk in very cheap price and cheap quality. Is there any quality check department at amazon ? ? ? It is very irritating and time wasting for me to follow process of repeated purchase and return. Its better option to walk and buy from my nearby shop, after checking and satisfying with quality of product. I wil give 'zero' or 'minus 5' star to seller and product."
43,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not worth,2.0,The mic very average. Use only for audio. You can't rely for any meetings as the mic is not good enough to grasp your voice clearly.Biggest issue is that Bluetooth disconnected after every 20 mins by default..very annoying.Audio quality for music and videos are good.Ergonomics is average. pains around the ears when you wear this headset for more than 30 minsI suggest go for an high-end models.. looking for cheap products don't compromise your comfort
44,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Best for online classes and pubg and music,1.0,1. Bluetooth  connectivity is best of best2. Music is good3. Pubg sound no lag little but with aux it's op4.online classes this is best  of best5. Build quality is excellent strong  Cushion of earcup is best6.voice calling is also best no problem7. Yes noice cancellation  is not good but in this  price this is best  headphones8. Those whose listen songs on low volume  it's good but not have  high bass it's best for songs9. You can use it for long time10. Looking is  premium with black colour
45,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Waste of Money,1.0,"The first time, only in one ear we were able to hear. Supplier promptly replaced in a day and we were very happy. In less than a month, audibility is lost and became a worthless piece. Don't buy and waste money like me."
46,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",outstanding headphones_comfortable+sound great+reasonable price,5.0,"This headphone is a great value. This is very comfortable and light.The headphone came in a compact and attractive box.Inside are the headphones, 3.5mm Aux cable, usb charging cable and instruction Booklet/Manual.The Bluetooth range is pretty good.The phone can stay inside the house while you go outside but only for a certain range where it’s not too far.The battery life is also very good. I just plug it in while I think about it and it seems to work out. I did not have amazing expectations but this headphone have exceeded my all expectations for the price."
47,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Perfect fit In Ear and Perfect for Pocket also,5.0,"Firstly i very like about size , size Is Perfect fit in Ear when we Use it For Long Also Is is comfortable for ear and No issue with Battary also Very Long lasting i almost Use It Plus more Its Only less 10 percentage charging and Second thing led Red blue light Indication connectivity is FastAnd Support 3.5mm audio jack When You don't have Bluetooth you can use It as a wired earphone also When you Dont have Charge on Headphone you Can use With Aux , and Aux You get In box ContentI love This Product Thank You"
48,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good product and quality is superb,5.0,"Quality of the material is good and as far as sound quality is concerned its CRYSTAL CLEAR, fits well on the ears and covers fully. Adjustable headphones, Bluetooth connectivity is good and connects faster.Range is 10 meters, whether you play from mobile or any device with bass or without bass it all depends on the quality of song. Call quality is good, Thanks Amazon!"
49,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Op headphone.,5.0,This headphone is wonderful. I fulfills my requirement. I am using this for running and I am enjoying listening music in it. Bass is amasing and comfortable on ears. Initially it's bit tight on head but now it's comfortable. Battery life is decent and light weight but it cannot disappoint on its performance. I am fully satisfied.
